city	metro_name	yr	qtr	index_nsa	index_sa	note
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	1	100	100	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	2	100.53	99.93	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	3	100.78	99.5	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1991	4	99.79	99.18	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	1	99.21	99.23	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	2	97.78	97.15	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	3	97.04	95.83	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1992	4	95.26	94.7	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	1	92.46	92.48	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	2	90.91	90.28	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	3	90.28	89.18	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1993	4	87.7	87.21	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	1	86.18	86.2	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	2	87.18	86.52	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	3	86.94	85.87	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1994	4	86.13	85.72	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	1	85.47	85.5	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	2	85.73	85	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	3	85.46	84.4	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1995	4	84.68	84.36	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	1	84.47	84.5	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	2	84.54	83.74	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	3	85.02	83.95	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1996	4	84.81	84.59	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	1	85.31	85.33	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	2	87.2	86.31	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	3	89.05	87.92	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1997	4	90.54	90.38	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	1	93.59	93.6	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	2	98.97	97.91	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	3	103.15	101.83	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1998	4	104.18	104.04	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	1	106.54	106.57	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	2	110.35	109.16	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	3	112.74	111.25	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	1999	4	114.28	114.14	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2000	1	117.92	117.98	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2000	2	122.57	121.27	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2000	3	125.38	123.69	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2000	4	128.68	128.5	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2001	1	132.85	132.94	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2001	2	136.83	135.44	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2001	3	140.7	138.74	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2001	4	143.03	142.81	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2002	1	147.01	147.15	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2002	2	155.09	153.55	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2002	3	163.87	161.51	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2002	4	168.52	168.24	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2003	1	173.81	174.05	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2003	2	183.23	181.4	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2003	3	194.83	191.99	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2003	4	206.2	205.83	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2004	1	220.03	220.46	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2004	2	242.55	240.02	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2004	3	251.75	248.1	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2004	4	253.82	253.33	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2005	1	263.42	264.09	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2005	2	278.42	275.36	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2005	3	292.44	288.24	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2005	4	300.53	299.84	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2006	1	305.3	306.28	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2006	2	310.23	306.78	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2006	3	308.08	303.65	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2006	4	304.94	304.03	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2007	1	297.07	298.2	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2007	2	291.2	288.06	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2007	3	275.24	271.24	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2007	4	250.81	249.88	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2008	1	228.88	229.8	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2008	2	220.3	218.07	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2008	3	210.45	207.35	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2008	4	199.42	198.59	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2009	1	192.35	193.11	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2009	2	194.09	192.23	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2009	3	198.84	195.89	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2009	4	201.28	200.45	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2010	1	201.35	202.02	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2010	2	202.77	200.89	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2010	3	201.92	199.06	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2010	4	196.94	196.11	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2011	1	195.75	196.19	
11244	"Anaheim-Santa Ana-Irvine, CA  (MSAD)"	2011	2	195.47	193.66	
