state	yr	qtr	index_nsa	index_sa	note
AK	1991	1	100.00	100.00	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	2	99.65	99.42	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	3	101.44	100.82	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1991	4	100.14	100.69	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	1	101.83	101.81	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	2	103.09	102.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	3	104.53	103.89	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1992	4	104.10	104.73	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	1	103.50	103.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	2	106.57	106.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	3	107.65	107.06	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1993	4	109.54	110.24	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	1	111.42	111.35	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	2	112.57	112.13	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	3	113.83	113.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1994	4	112.57	113.30	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	1	115.48	115.43	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	2	117.54	117.02	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	3	118.78	118.25	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1995	4	118.85	119.56	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	1	122.09	122.14	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	2	123.25	122.65	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	3	121.94	121.36	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1996	4	124.54	125.22	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	1	124.34	124.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	2	125.85	125.15	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	3	127.39	126.75	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1997	4	126.86	127.45	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	1	127.99	128.47	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	2	131.37	130.58	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	3	132.56	131.84	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1998	4	134.20	134.72	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	1	133.53	134.27	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	2	135.97	135.07	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	3	137.21	136.41	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	1999	4	135.56	136.01	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	1	136.95	137.85	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
AK	2000	2	141.12	140.19	Note: DataQuick (County Records) Data Comprise Less than 10% of Total Sample
