state	yr	qtr	index_nsa	index_sa	Warning
AK	1991	1	100	100	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	2	100.69	100.09	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	3	101.79	101.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1991	4	102.11	102.05	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	1	102.24	102.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	2	104.1	103.49	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	3	104.74	103.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1992	4	104.02	104.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	1	104.92	104.74	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	2	106.9	106.27	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	3	108.05	107.32	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1993	4	110.38	110.51	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	1	110.87	110.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	2	111.26	110.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	3	112.54	111.88	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1994	4	111.12	111.25	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	1	114.63	114.26	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	2	116.36	115.59	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	3	117.55	116.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1995	4	117.4	117.52	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	1	120.6	120.28	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	2	120.91	120.02	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	3	120.84	120.2	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1996	4	123.11	123.2	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	1	123.15	123.03	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	2	124.71	123.64	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	3	125.26	124.52	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1997	4	125.45	125.56	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	1	125.52	125.63	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	2	129.25	128	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	3	129.97	129.06	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1998	4	130.68	130.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	1	131.36	131.74	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	2	133.91	132.54	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	3	134.5	133.3	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	1999	4	130.76	131.04	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	1	133.09	133.58	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	2	136.72	135.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	3	137.92	136.47	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2000	4	136.55	136.98	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	1	139.84	140.35	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	2	144.19	142.82	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	3	146.85	145.15	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2001	4	147.77	148.33	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	1	148.68	149.14	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	2	153.11	151.78	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	3	157.74	155.84	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2002	4	156.39	156.96	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	1	159.63	160.12	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	2	163.98	162.62	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	3	166.5	164.44	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2003	4	170.12	170.75	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	1	174.57	175.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	2	178.54	176.93	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	3	185.3	183.07	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2004	4	187.19	187.81	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	1	192.27	193.22	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	2	199.37	197.2	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	3	206.25	203.95	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2005	4	207.36	207.99	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
AK	2006	1	210.9	212.18	"* Note that this state has fewer than 15,000 transactions over the latest ten years"
